Name,Price,Payout,Probability
Big Bucks,1,1,0.1150747986191024
Big Bucks,1,2,0.029129041654529567
Big Bucks,1,2,0.0196078431372549
Big Bucks,1,5,0.014777597162701344
Big Bucks,1,10,0.004975124378109453
Big Bucks,1,10,0.004975124378109453
Big Bucks,1,15,0.0024937655860349127
Big Bucks,1,15,0.0024937655860349127
Big Bucks,1,20,0.0012484394506866417
Big Bucks,1,20,7.494397937541688e-4
Big Bucks,1,50,2.4993751562109475e-4
Big Bucks,1,50,1.4997742839702624e-4
Big Bucks,1,100,1.999600079984003e-4
Big Bucks,1,100,4.999750012499375e-5
Big Bucks,1,1000,1.24998437519531e-5
Big Bucks,1,0,0.8038126879577888
