Name,Price,Payout,Probability
King Bonus,10,10,0.1111111111111111
King Bonus,10,20,0.047619047619047616
King Bonus,10,20,0.024390243902439025
King Bonus,10,25,0.024390243902439025
King Bonus,10,25,0.024390243902439025
King Bonus,10,50,0.004479885314935938
King Bonus,10,50,0.011858176212498519
King Bonus,10,50,0.004479885314935938
King Bonus,10,100,9.99000999000999e-4
King Bonus,10,100,7.494397937541688e-4
King Bonus,10,100,9.99000999000999e-4
King Bonus,10,100,7.494397937541688e-4
King Bonus,10,200,2.4993751562109475e-4
King Bonus,10,200,1.562255897516013e-4
King Bonus,10,200,6.249609399412537e-5
King Bonus,10,1000,1.87496496159228e-5
King Bonus,10,1000,6.249960937744139e-6
King Bonus,10,175000,1.24998437519531e-5
King Bonus,10,0,0.743278122480971
