Name,Price,Payout,Probability
Money Comb,3,3,0.10183299389002036
Money Comb,3,3,0.07974481658692185
Money Comb,3,5,0.0033222591362126247
Money Comb,3,5,0.0033222591362126247
Money Comb,3,5,0.0033222591362126247
Money Comb,3,10,0.0033222591362126247
Money Comb,3,10,0.0033222591362126247
Money Comb,3,10,0.0033222591362126247
Money Comb,3,20,0.0033222591362126247
Money Comb,3,20,0.0033222591362126247
Money Comb,3,30,0.0018299935950224172
Money Comb,3,30,0.0018299935950224172
Money Comb,3,30,0.0020624084806236723
Money Comb,3,100,9.99000999000999e-4
Money Comb,3,100,0.0028253376278465276
Money Comb,3,500,2.499937501562461e-5
Money Comb,3,500,2.499937501562461e-5
Money Comb,3,1000,1.666638889351844e-5
Money Comb,3,30000,1.666638889351844e-5
Money Comb,3,0,0.7822140506080224
