Name,Price,Payout,Probability
Fast Money,1,1,0.12285012285012284
Fast Money,1,2,0.0196078431372549
Fast Money,1,2,0.0196078431372549
Fast Money,1,5,0.014777597162701344
Fast Money,1,10,0.004975124378109453
Fast Money,1,10,0.004975124378109453
Fast Money,1,15,0.0024937655860349127
Fast Money,1,15,0.0024937655860349127
Fast Money,1,20,0.00149774589243189
Fast Money,1,20,4.997501249375312e-4
Fast Money,1,50,5.496982156795919e-4
Fast Money,1,50,2.4993751562109475e-4
Fast Money,1,100,9.999000099990002e-5
Fast Money,1,100,4.999750012499375e-5
Fast Money,1,1500,9.0908264470323e-6
Fast Money,1,0,0.8052626037081352
